symbol,side,quantity,entryPrice,exitPrice,entryDate,exitDate,fees,strategy,notes
CHNR,LONG,200,5.02,4.87,2026-03-19T07:26:08,2026-03-19T07:26:13,0,"A stock,Volume profile,MACD +,Reversal,Score 7",Didn't time it correctly. Should have waited for the new high candle
CTMX,LONG,1000,7.45,7.5,2026-03-16T07:10:14,2026-03-16T07:10:53,0,"10s pullback,4 confidence,A setup,MACD +,Volume profile,B stock",
CTMX,LONG,1000,7.82,7.69,2026-03-16T07:08:02,2026-03-16T07:08:16,0,"MACD +,B stock,4 confidence,1min pullback,Volume profile,A setup",Too fast exit
BIAF,LONG,600,2.11,2.11,2026-03-13T09:38:00,2026-03-13T09:41:22,0,"10s pullback,4 confidence,A stock,A setup,MACD +,Volume profile","Unfortunately, I had to exit the trade cause I was leaving. Otherwise, I would have hold."
BIAF,LONG,600,1.69,1.66,2026-03-13T08:39:03,2026-03-13T08:39:35,0,"A stock,10s pullback,B setup,MACD -,3 confidence",
BIAF,LONG,600,1.53,1.6,2026-03-13T08:06:09,2026-03-13T08:06:35,0,"A setup,10s pullback,A stock,4 confidence,MACD +",
KIDZ,LONG,600,3.78,3.93,2026-03-13T07:35:02,2026-03-13T07:36:52,0,"1min pullback,4 confidence,A setup,A+ stock,MACD +,Volume profile",
KIDZ,LONG,600,3.75,3.76,2026-03-13T07:31:53,2026-03-13T07:32:17,0,"10s pullback,3 confidence,A setup,A+ stock,MACD +,Volume profile",Should have paid more attention to the long upper wicks.
ELPW,LONG,600,5.14,5.1,2026-03-13T07:10:01,2026-03-13T07:10:35,0,"C setup,A+ stock,3 confidence,10s pullback,MACD -",
ELPW,LONG,600,5.51,5.58,2026-03-13T07:03:53,2026-03-13T07:04:24,0,"1min pullback,4 confidence,A+ stock,A setup,MACD +",
EDHL,LONG,600,5.35,5.19,2026-03-13T04:56:42,2026-03-13T04:59:23,0,"C setup,B stock,MACD -,1min pullback,Loser hold",Holding to long. Was hoping to go back.
